,task_id,source,ClaimantType
0,f79dff90-7723-4c33-9582-33e46ab6176c,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
1,f040bde3-4c11-482c-b7e3-4bd080b1a7f7,The article,"        6. inanimate and generic objects (e.g., ""a study"")"
2,e3f62e34-fb40-4bda-a5b4-acd3d72c1160,Dr. Cherry,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
3,edf664b7-4b4b-4eca-8bfb-dbb814528de7,My vet friend,"        3. role or profession without further specifications (e.g., ""a doctor"")"
4,cca66bf3-17a3-4c5d-8a91-ce303c7bc5a0,People in the middle ages,"          4. collective expressions (e.g. ""some people"")"
5,f5a2949d-444b-4045-8b2a-36fd4c5128c3,the establishment,"        6. inanimate and generic objects (e.g., ""a study"")"
6,dec31be9-d54d-48fb-ae88-8a64942d1f98,Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
7,d7937c9a-c375-418f-a3c2-5135ad1d25b2,The Office of Medical and Scientific Justice,"        6. inanimate and generic objects (e.g., ""a study"")"
8,d1cb3b4c-baf4-4fed-aaa4-35fbae145e0a,Saathoff,"        1. named individuals (e.g., ""Donald Trump"")"
9,df8fa1b1-b61d-4342-99e2-4ff31f594188,everyone,"          4. collective expressions (e.g. ""some people"")"
10,c2d929d3-b0fe-4230-a8e0-84b21d7647d0,studies,"        6. inanimate and generic objects (e.g., ""a study"")"
11,e7a0cb40-1748-4ad7-a9ac-d41ba21f1189,"a previous article , “ Measles : A Rash of Misinformation , ”","        6. inanimate and generic objects (e.g., ""a study"")"
12,83470ae7-dc09-47e5-951a-2daa817cb569,The initial confirmed case-patients,"        5. collective roles (e..g., ""doctors"")"
13,aa65ab98-143a-403f-a60b-98cc2ae462a8,the medical community,"          4. collective expressions (e.g. ""some people"")"
14,c1cb60ba-972d-429b-9d71-641e9cdf4d57,the CDC,"        6. inanimate and generic objects (e.g., ""a study"")"
15,a1f2b6d8-412f-4e3b-9ab7-79c5e8d40f2f,a claim,"        6. inanimate and generic objects (e.g., ""a study"")"
16,b767bea4-aa41-4843-a706-856e41cee671,most vaccine pushers,"        5. collective roles (e..g., ""doctors"")"
17,966bfe78-e1d3-4eca-84a1-7365db6135df,anyone,"          4. collective expressions (e.g. ""some people"")"
18,8c9921b4-101a-49c3-ac23-683c0055dab5,the CDC,"        6. inanimate and generic objects (e.g., ""a study"")"
19,84df0038-b812-4bf4-a8fb-8cdf72cb4862,government scientists,"        5. collective roles (e..g., ""doctors"")"
20,bcc29f18-b9b9-43a2-b187-1f03f241d137,The World Health Organization ( WHO ),"        6. inanimate and generic objects (e.g., ""a study"")"
21,b668fac0-b372-462f-9377-b80f4d837e54,Other sources,"        6. inanimate and generic objects (e.g., ""a study"")"
22,8c5bca89-4ba1-4fd3-b6a0-e43eb2d53b0b,news reports,"        6. inanimate and generic objects (e.g., ""a study"")"
23,97576e17-e57d-4f5c-9f94-aa91f7fc273b,health care providers statewide,"        5. collective roles (e..g., ""doctors"")"
24,9005df96-939e-4ec5-9c28-ce88be32b772,"[ 10 times overdiagnosed , CDR Weekly , PHLS 12:26 ]","        6. inanimate and generic objects (e.g., ""a study"")"
25,999c9311-7a30-42d9-861e-7bac738db793, easytraveler ',"        6. inanimate and generic objects (e.g., ""a study"")"
26,6f31946c-5dad-458d-8602-369af4ed263f,many people,"          4. collective expressions (e.g. ""some people"")"
27,2bdcfa6b-1e54-41fd-95f6-c15b2eb14a9e,The medical community,"          4. collective expressions (e.g. ""some people"")"
28,68edd02d-f0aa-4a70-b490-4eec745d86b3,Its authors,"        5. collective roles (e..g., ""doctors"")"
29,82628277-5096-45da-8b42-678c77b715da,Wakefield,"        1. named individuals (e.g., ""Donald Trump"")"
30,884314e8-73be-4301-a5d6-0a417c8c0419,The World Health Organization Global Advisory Committee on Vaccine Safety,"        6. inanimate and generic objects (e.g., ""a study"")"
31,4498006f-8e0b-4101-8a3d-196403dcf605,most public health officials,"        5. collective roles (e..g., ""doctors"")"
32,2c639e8b-eab5-42de-b6ad-2ea3d8f0e53b,Measles outbreak in a fully immunized secondary-school population .,"        6. inanimate and generic objects (e.g., ""a study"")"
33,7aeb6548-fec2-4f53-bcc8-5e68f0e34215,The US Centres for Disease Control and Prevention,"        6. inanimate and generic objects (e.g., ""a study"")"
34,3593d15e-b884-4f8b-be50-108122d80acb,"Dr. Charles Arntzen , head of The Biodesign Institute for Infectious Diseases and Vaccinology","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
35,76ffa423-e223-42fe-9546-4bfcb79c866a,the Red Cross in South Sudan,"        6. inanimate and generic objects (e.g., ""a study"")"
36,2b8639ab-930d-47ed-bd11-958d2cce845e,"A recent study done in Ontario , Canada ,","        6. inanimate and generic objects (e.g., ""a study"")"
37,13c6d76f-2e6b-4a2d-b58e-5da211a216aa,the researchers,"        5. collective roles (e..g., ""doctors"")"
38,6de28f3c-dc83-4e8a-a49a-35b8d5d3f0d9,Astroturfers,"        5. collective roles (e..g., ""doctors"")"
39,47580e4d-d734-4f66-961a-69229f4330cb,Gordon,"        1. named individuals (e.g., ""Donald Trump"")"
40,25ea913d-abfd-44b4-bc3d-9924b23d1905,A study from Japan ’s Kinki University in 2010,"        6. inanimate and generic objects (e.g., ""a study"")"
41,44c7298d-e4ae-4205-ad27-6daa83ff8009,Couch 1997,"        6. inanimate and generic objects (e.g., ""a study"")"
42,241a4178-4073-422f-ac00-a79204e15ffa,her colleagues at the Institute of Medicine,"        5. collective roles (e..g., ""doctors"")"
43,5eefcfb6-8a46-45d0-8ad6-6d8644b8775e,this study,"        6. inanimate and generic objects (e.g., ""a study"")"
44,6c03a584-8840-4aa7-8262-ceb0077aeabe,nearly 88 % of pediatricians,"        5. collective roles (e..g., ""doctors"")"
45,1a6f8d7a-a9cf-487a-ac80-46d5fc8cda0f,the researchers,"        5. collective roles (e..g., ""doctors"")"
