worker_id,task_id,task_response_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Optional Comments:
QEZAEMV2WF9D,fe311cf8-f715-4be6-9a6d-80c753d2578c,c928b3fc-f231-405e-ac94-9ea23d4f3171,Scientific-American_20170112T025035.conll.annot,49,7 8 9 10 11 12 13 14 15,Scientific American,more than a fifth of the 534 surveyed physicians,5 - The source is fully reliable,""
2AZWNZRTVACE,f313546b-d721-4373-a3bb-0c3518045bd8,ae0adcbc-1664-4337-b84e-aa8528c09348,immunise-health-gov-au_20170626T104650.conll.annot,60,6 7,www.immunise.health.gov.au,Several studies,4 - The source is somewhat reliable,""
2AZWNZRTVACE,eeb471b6-bffa-48fb-9c00-8b8896190038,cd585722-0cc0-45a8-ab20-1bbf08f01c06,NaturalNews_20170707T040258.conll.annot,12,73 74,NaturalNews,the complaint,2 - The source is somewhat unreliable,""
2AZWNZRTVACE,f050d19e-0436-4e10-bebe-b64e43efdc4b,e5ae93bc-e076-4bfb-95a5-46d8407239c0,who-int_20170327T043644.conll.annot,6,4 5,www.who.int,world leaders,5 - The source is fully reliable,""
2AZWNZRTVACE,e5bde4ad-cdf2-4acd-af17-25045b7ec549,9304524e-1b7c-4c88-a01f-b6386ed5b7f4,WebMD_20170626T182528.conll.annot,30,1 2,WebMD,The CDC,5 - The source is fully reliable,""
HQ9C62JNTQAD,fea4115a-2f78-47a7-877a-2de94142d639,6259437e-f8f1-414f-b057-4c08fa016d25,globalresearch-ca_20170312T001802.conll.annot,13,1 2 3 4 5 6,www.globalresearch.ca,CDC data published after 1985 outbreak,1 - The source is totally unreliable,""
N7P6PRKRJCTQ,fea4115a-2f78-47a7-877a-2de94142d639,ebf4414b-2c31-4aa4-bcc7-ce137343342b,globalresearch-ca_20170312T001802.conll.annot,13,1 2 3 4 5 6,www.globalresearch.ca,CDC data published after 1985 outbreak,3 - The source is potentially reliable,""
N7P6PRKRJCTQ,fc4b6ecf-5b47-4144-96cf-16aa366bd271,68f0c1f6-07da-4ad6-bd63-bc69cf9fe056,Parents_20170705T132137.conll.annot,4,10 11 12 13 14 15 16 17,Parents,"Estall , of Grand Forks , North Dakota",2 - The source is somewhat unreliable,""
64AFFXCKWR7N,fc4b6ecf-5b47-4144-96cf-16aa366bd271,edff6457-9e38-4ffe-bc74-849c6244e129,Parents_20170705T132137.conll.annot,4,10 11 12 13 14 15 16 17,Parents,"Estall , of Grand Forks , North Dakota",4 - The source is somewhat reliable,""
ATEZ9499929P,fea4115a-2f78-47a7-877a-2de94142d639,bf68f074-d1f6-4926-911e-176ed8b59d33,globalresearch-ca_20170312T001802.conll.annot,13,1 2 3 4 5 6,www.globalresearch.ca,CDC data published after 1985 outbreak,5 - The source is fully reliable,""
