number_of_responses,task_id,file_id,sentence,tokens_id,publisher,source,What is your perceived reliability of this source of information?,Agreement %: What is your perceived reliability of this source of information?,Optional Comments:
7,f21e122b-2700-40f8-877c-46802484de40,LifeSiteNews_20170611T045238.conll.annot,11,2 3,LifeSiteNews,the government,3 - The source is potentially reliable,0.43,""
7,f9375ed0-0002-45ae-b357-09fbe0ac9e69,Global-Freedom-Movement_20170830T214655.conll.annot,50,1 2 3 4 5,Global Freedom Movement,Much of the mainstream media,1 - The source is totally unreliable,0.57,""
7,e60d0364-bf7d-45e9-b67b-ea924e8ae704,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,28,2 3 4 5 6 7 8 9,Banning-Beaumont CA Patch,City News Service and Patch Editor Renee Schiavone,4 - The source is somewhat reliable,0.57,""
7,d37245d4-1546-4bda-bc56-d33133d015e9,the-Guardian_20170928T060038.conll.annot,12,9 10 11 12,the Guardian,political and medical experts,5 - The source is fully reliable,0.29,""
7,e1fe41c4-d14d-43cf-b92a-bba900e88ee7,LifeSiteNews_20170611T045238.conll.annot,5,1 2 3,LifeSiteNews,Priests throughout Kenya,4 - The source is somewhat reliable,0.29,""
7,e9cd9739-7d3e-4938-9f9c-b054a60b4f08,PBS-NewsHour_20161202T134302.conll.annot,56,23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,PBS NewsHour,"Dr. Eric Handler , the health officer in Orange County , where 23 of the cases have been reported this year",5 - The source is fully reliable,0.71,""
7,fcceea73-6972-4f47-8895-6ada8b32dbe5,Modern-Alternative-Health_20170627T011209.conll.annot,7,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,Modern Alternative Health,"Your pediatrician and his handy marketing piece , the Vaccine Information Statement ( VIS ) ,",4 - The source is somewhat reliable,0.29,""
7,ffa87910-146b-4235-92ec-2367e24dd3b5,sharylattkisson-com_20171001T192931.conll.annot,11,1 2,sharylattkisson.com,Many Studies,3 - The source is potentially reliable,0.43,""
7,fea69816-66e3-4edf-81bd-cc96c8c0e600,Banning-Beaumont-CA-Patch_20150812T082915.conll.annot,22,1 2,Banning-Beaumont CA Patch,The CDC,5 - The source is fully reliable,0.57,""
7,fc3fadbe-050a-492b-bc7a-db80102bd1e5,en-wikipedia-org_20170412T054820.conll.annot,35,4 5 6 7,en.wikipedia.org,At least one study,1 - The source is totally unreliable,0.57,""
