task_id,file_id,sentence,tokens_id,publisher,source,1. What is your perceived reliability of this source of information?,1. Optional Comments:,1. worker_id,2. What is your perceived reliability of this source of information?,2. Optional Comments:,2. worker_id,3. What is your perceived reliability of this source of information?,3. Optional Comments:,3. worker_id,4. What is your perceived reliability of this source of information?,4. Optional Comments:,4. worker_id,5. What is your perceived reliability of this source of information?,5. Optional Comments:,5. worker_id,6. What is your perceived reliability of this source of information?,6. Optional Comments:,6. worker_id,7. What is your perceived reliability of this source of information?,7. Optional Comments:,7. worker_id,8. What is your perceived reliability of this source of information?,8. Optional Comments:,8. worker_id,9. What is your perceived reliability of this source of information?,9. Optional Comments:,9. worker_id,10. What is your perceived reliability of this source of information?,10. Optional Comments:,10. worker_id
f79dff90-7723-4c33-9582-33e46ab6176c,ThinkProgress_20160723T110700.conll.annot,12,22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,ThinkProgress,"Maimuna Majumder , a research fellow at Boston Children ’s Hospital and one of the authors of the new JAMA study ,",5 - The source is fully reliable,"",AACFVWEXCXDM,5 - The source is fully reliable,"",ZRN7M74DZ3QK,4 - The source is somewhat reliable,"",4TNHZX6VKQAA,5 - The source is fully reliable,"",GTQAJ46PMXMD,3 - The source is potentially reliable,"",J9ZFMWAM9HDT,3 - The source is potentially reliable,"",VPZ2EYZE9RZ7,5 - The source is fully reliable,"",D7HVJTEKMYNW,5 - The source is fully reliable,"",MWHG9Y6DNGR9,3 - The source is potentially reliable,"",9R3XRNAAW7RR,5 - The source is fully reliable,"",23QWQCPZ7PNP
f040bde3-4c11-482c-b7e3-4bd080b1a7f7,PublicHealth-org_20170623T200727.conll.annot,14,1 2,PublicHealth.org,The article,3 - The source is potentially reliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",GM7WMPEN2H9W,3 - The source is potentially reliable,"",AACFVWEXCXDM,4 - The source is somewhat reliable,"",ZRN7M74DZ3QK,4 - The source is somewhat reliable,"",4TNHZX6VKQAA,3 - The source is potentially reliable,"",J9ZFMWAM9HDT,1 - The source is totally unreliable,"",VPZ2EYZE9RZ7,4 - The source is somewhat reliable,"",MWHG9Y6DNGR9,5 - The source is fully reliable,"",D7HVJTEKMYNW,5 - The source is fully reliable,"",9R3XRNAAW7RR
e3f62e34-fb40-4bda-a5b4-acd3d72c1160,National-Vaccine-Information-Center-(NVIC)_20170616T025538.conll.annot,26,5 6,National Vaccine Information Center (NVIC),Dr. Cherry,4 - The source is somewhat reliable,"",D69JPMAFP9GP,5 - The source is fully reliable,"",VHYWA473JMK3,5 - The source is fully reliable,"",AACFVWEXCXDM,4 - The source is somewhat reliable,"",ZRN7M74DZ3QK,4 - The source is somewhat reliable,"",4TNHZX6VKQAA,3 - The source is potentially reliable,"",J9ZFMWAM9HDT,5 - The source is fully reliable,"",VPZ2EYZE9RZ7,5 - The source is fully reliable,"",MWHG9Y6DNGR9,2 - The source is somewhat unreliable,Not sure if totally unreliable was applicable if half-truths were present.,9R3XRNAAW7RR,5 - The source is fully reliable,"",D7HVJTEKMYNW
edf664b7-4b4b-4eca-8bfb-dbb814528de7,dogsnaturallymagazine-com_20170804T052804.conll.annot,27,1 2 3,www.dogsnaturallymagazine.com,My vet friend,2 - The source is somewhat unreliable,"",DQF4H44Q9Y7G,3 - The source is potentially reliable,"",D69JPMAFP9GP,3 - The source is potentially reliable,"",GM7WMPEN2H9W,3 - The source is potentially reliable,"",ZRN7M74DZ3QK,3 - The source is potentially reliable,"",AACFVWEXCXDM,2 - The source is somewhat unreliable,"",4TNHZX6VKQAA,1 - The source is totally unreliable,"",J9ZFMWAM9HDT,3 - The source is potentially reliable,"",VPZ2EYZE9RZ7,3 - The source is potentially reliable,"",D7HVJTEKMYNW,2 - The source is somewhat unreliable,"",MWHG9Y6DNGR9
cca66bf3-17a3-4c5d-8a91-ce303c7bc5a0,Variety_20170614T212541.conll.annot,457,1 2 3 4 5,Variety,People in the middle ages,2 - The source is somewhat unreliable,"",APKAYMEPJ3TR,2 - The source is somewhat unreliable,"",VKJ2WV7P7ZTA,3 - The source is potentially reliable,"",GM7WMPEN2H9W,2 - The source is somewhat unreliable,"",AACFVWEXCXDM,3 - The source is potentially reliable,"",ZRN7M74DZ3QK,2 - The source is somewhat unreliable,"",4TNHZX6VKQAA,2 - The source is somewhat unreliable,"",J9ZFMWAM9HDT,1 - The source is totally unreliable,"",VPZ2EYZE9RZ7,4 - The source is somewhat reliable,"",D7HVJTEKMYNW,4 - The source is somewhat reliable,"",9R3XRNAAW7RR
f5a2949d-444b-4045-8b2a-36fd4c5128c3,NaturalNews_20170628T230637.conll.annot,6,11 12,NaturalNews,the establishment,1 - The source is totally unreliable,"",VHYWA473JMK3,1 - The source is totally unreliable,"",D69JPMAFP9GP,3 - The source is potentially reliable,"",GM7WMPEN2H9W,3 - The source is potentially reliable,"",ZRN7M74DZ3QK,3 - The source is potentially reliable,"",AACFVWEXCXDM,3 - The source is potentially reliable,"",4TNHZX6VKQAA,2 - The source is somewhat unreliable,"",GTQAJ46PMXMD,2 - The source is somewhat unreliable,"",J9ZFMWAM9HDT,5 - The source is fully reliable,"",VPZ2EYZE9RZ7,2 - The source is somewhat unreliable,"",D7HVJTEKMYNW
dec31be9-d54d-48fb-ae88-8a64942d1f98,Reuters_20161107T200904.conll.annot,14,37,Reuters,Majumder,3 - The source is potentially reliable,"",3MEG6THYHV69,3 - The source is potentially reliable,"",D69JPMAFP9GP,4 - The source is somewhat reliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",GM7WMPEN2H9W,3 - The source is potentially reliable,"",ZRN7M74DZ3QK,4 - The source is somewhat reliable,"",AACFVWEXCXDM,3 - The source is potentially reliable,"",4TNHZX6VKQAA,3 - The source is potentially reliable,"",J9ZFMWAM9HDT,3 - The source is potentially reliable,"",VPZ2EYZE9RZ7,4 - The source is somewhat reliable,"",MWHG9Y6DNGR9
d7937c9a-c375-418f-a3c2-5135ad1d25b2,vaccine-injury-info_20170922T015859.conll.annot,105,1 2 3 4 5 6 7,vaccine-injury.info,The Office of Medical and Scientific Justice,3 - The source is potentially reliable,"",NFN2M74RPJ2Q,3 - The source is potentially reliable,"",TC6999WXZFAN,1 - The source is totally unreliable,"",D69JPMAFP9GP,2 - The source is somewhat unreliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",GM7WMPEN2H9W,5 - The source is fully reliable,"",AACFVWEXCXDM,5 - The source is fully reliable,"",ZRN7M74DZ3QK,2 - The source is somewhat unreliable,"",4TNHZX6VKQAA,2 - The source is somewhat unreliable,"",J9ZFMWAM9HDT,5 - The source is fully reliable,"",VPZ2EYZE9RZ7
d1cb3b4c-baf4-4fed-aaa4-35fbae145e0a,KXAN-com_20171002T213140.conll.annot,6,6,KXAN.com,Saathoff,3 - The source is potentially reliable,"",MDJFDCCJ3JMA,3 - The source is potentially reliable,"",XJKGQQWFXKTX,2 - The source is somewhat unreliable,"",DQF4H44Q9Y7G,3 - The source is potentially reliable,"",D69JPMAFP9GP,2 - The source is somewhat unreliable,"",ZRN7M74DZ3QK,2 - The source is somewhat unreliable,"",GM7WMPEN2H9W,4 - The source is somewhat reliable,"",AACFVWEXCXDM,3 - The source is potentially reliable,"",4TNHZX6VKQAA,3 - The source is potentially reliable,"",J9ZFMWAM9HDT,2 - The source is somewhat unreliable,"",VPZ2EYZE9RZ7
df8fa1b1-b61d-4342-99e2-4ff31f594188,wonkette-com_20160919T234256.conll.annot,20,2,wonkette.com,everyone,1 - The source is totally unreliable,"",NFN2M74RPJ2Q,1 - The source is totally unreliable,"",DQF4H44Q9Y7G,2 - The source is somewhat unreliable,"",VHYWA473JMK3,2 - The source is somewhat unreliable,"",D69JPMAFP9GP,2 - The source is somewhat unreliable,"",GM7WMPEN2H9W,2 - The source is somewhat unreliable,"",AACFVWEXCXDM,2 - The source is somewhat unreliable,"",ZRN7M74DZ3QK,2 - The source is somewhat unreliable,"",4TNHZX6VKQAA,I don't know.,"",J9ZFMWAM9HDT,2 - The source is somewhat unreliable,"",VPZ2EYZE9RZ7
c2d929d3-b0fe-4230-a8e0-84b21d7647d0,nytimes-com_20161229T124138.conll.annot,106,3,www.nytimes.com,studies,3 - The source is potentially reliable,"",NFN2M74RPJ2Q,3 - The source is potentially reliable,"",K4GKD97M6XT4,4 - The source is somewhat reliable,"",MDJFDCCJ3JMA,4 - The source is somewhat reliable,"",TC6999WXZFAN,3 - The source is potentially reliable,"",DQF4H44Q9Y7G,5 - The source is fully reliable,"",GM7WMPEN2H9W,3 - The source is potentially reliable,"",AACFVWEXCXDM,4 - The source is somewhat reliable,"",ZRN7M74DZ3QK,3 - The source is potentially reliable,"",4TNHZX6VKQAA,3 - The source is potentially reliable,"",J9ZFMWAM9HDT
e7a0cb40-1748-4ad7-a9ac-d41ba21f1189,Activist-Post_20170704T090503.conll.annot,10,9 10 11 12 13 14 15 16 17 18 19 20 21,Activist Post,"a previous article , “ Measles : A Rash of Misinformation , ”",1 - The source is totally unreliable,"",XJKGQQWFXKTX,3 - The source is potentially reliable,"",TC6999WXZFAN,3 - The source is potentially reliable,"",DQF4H44Q9Y7G,3 - The source is potentially reliable,"",D69JPMAFP9GP,3 - The source is potentially reliable,"",VHYWA473JMK3,3 - The source is potentially reliable,"",GM7WMPEN2H9W,2 - The source is somewhat unreliable,"",ZRN7M74DZ3QK,3 - The source is potentially reliable,"",AACFVWEXCXDM,3 - The source is potentially reliable,"",4TNHZX6VKQAA,3 - The source is potentially reliable,"",GTQAJ46PMXMD
83470ae7-dc09-47e5-951a-2daa817cb569,emergency-cdc-gov_20170616T203204.conll.annot,13,1 2 3 4,emergency.cdc.gov,The initial confirmed case-patients,5 - The source is fully reliable,"",2VHW4RE6AKTN,5 - The source is fully reliable,"",AH74XWK3GPFR,5 - The source is fully reliable,"",TZF9ZHYFXAXZ,5 - The source is fully reliable,"",K4GKD97M6XT4,5 - The source is fully reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",QEZAEMV2WF9D,5 - The source is fully reliable,"",3MEG6THYHV69,5 - The source is fully reliable,"",MDJFDCCJ3JMA,5 - The source is fully reliable,"",XJKGQQWFXKTX,4 - The source is somewhat reliable,"",4TNHZX6VKQAA
aa65ab98-143a-403f-a60b-98cc2ae462a8,the-Guardian_20160416T111806.conll.annot,32,3 4 5,the Guardian,the medical community,3 - The source is potentially reliable,"",AH74XWK3GPFR,4 - The source is somewhat reliable,"",3MEG6THYHV69,5 - The source is fully reliable,"",K4GKD97M6XT4,3 - The source is potentially reliable,"",MDJFDCCJ3JMA,5 - The source is fully reliable,"",XJKGQQWFXKTX,5 - The source is fully reliable,"",TC6999WXZFAN,5 - The source is fully reliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",D69JPMAFP9GP,5 - The source is fully reliable,"",GM7WMPEN2H9W,3 - The source is potentially reliable,"",AACFVWEXCXDM
c1cb60ba-972d-429b-9d71-641e9cdf4d57,21st-Century-Wire_20170627T181355.conll.annot,3,5 6,21st Century Wire,the CDC,2 - The source is somewhat unreliable,"",AH74XWK3GPFR,2 - The source is somewhat unreliable,"",QEZAEMV2WF9D,5 - The source is fully reliable,"",NFN2M74RPJ2Q,3 - The source is potentially reliable,"",TC6999WXZFAN,3 - The source is potentially reliable,"",DQF4H44Q9Y7G,5 - The source is fully reliable,"",D69JPMAFP9GP,5 - The source is fully reliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",GM7WMPEN2H9W,5 - The source is fully reliable,"",AACFVWEXCXDM,4 - The source is somewhat reliable,"",ZRN7M74DZ3QK
