task_id,file_id,sentence,tokens_id,publisher,source,1. What is your perceived reliability of this source of information?,1. Optional Comments:,1. worker_id,2. What is your perceived reliability of this source of information?,2. Optional Comments:,2. worker_id,3. What is your perceived reliability of this source of information?,3. Optional Comments:,3. worker_id,4. What is your perceived reliability of this source of information?,4. Optional Comments:,4. worker_id,5. What is your perceived reliability of this source of information?,5. Optional Comments:,5. worker_id,6. What is your perceived reliability of this source of information?,6. Optional Comments:,6. worker_id,7. What is your perceived reliability of this source of information?,7. Optional Comments:,7. worker_id
fe311cf8-f715-4be6-9a6d-80c753d2578c,Scientific-American_20170112T025035.conll.annot,49,7 8 9 10 11 12 13 14 15,Scientific American,more than a fifth of the 534 surveyed physicians,4 - The source is somewhat reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",VHYWA473JMK3,5 - The source is fully reliable,"",ATEZ9499929P,3 - The source is potentially reliable,"",N7P6PRKRJCTQ,5 - The source is fully reliable,"",QEZAEMV2WF9D
f313546b-d721-4373-a3bb-0c3518045bd8,immunise-health-gov-au_20170626T104650.conll.annot,60,6 7,www.immunise.health.gov.au,Several studies,3 - The source is potentially reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,4 - The source is somewhat reliable,"",N7P6PRKRJCTQ,4 - The source is somewhat reliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",NKJG9Q32MFF2,5 - The source is fully reliable,"",64AFFXCKWR7N,4 - The source is somewhat reliable,"",2AZWNZRTVACE
eeb471b6-bffa-48fb-9c00-8b8896190038,NaturalNews_20170707T040258.conll.annot,12,73 74,NaturalNews,the complaint,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,3 - The source is potentially reliable,"",7R2NKCJQNXPP,3 - The source is potentially reliable,"",9W32AJH3DRDF,2 - The source is somewhat unreliable,"",NKJG9Q32MFF2,4 - The source is somewhat reliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",2AZWNZRTVACE
f050d19e-0436-4e10-bebe-b64e43efdc4b,who-int_20170327T043644.conll.annot,6,4 5,www.who.int,world leaders,5 - The source is fully reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",4ACJA6QTDYMG,4 - The source is somewhat reliable,"",JZ7ANTA4WC4X,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,5 - The source is fully reliable,"",64AFFXCKWR7N,5 - The source is fully reliable,"",2AZWNZRTVACE
e5bde4ad-cdf2-4acd-af17-25045b7ec549,WebMD_20170626T182528.conll.annot,30,1 2,WebMD,The CDC,5 - The source is fully reliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",CZPMWCFG6FAT,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",N7P6PRKRJCTQ,5 - The source is fully reliable,"",4ACJA6QTDYMG,5 - The source is fully reliable,"",9MXXQWCEDHHX,5 - The source is fully reliable,"",2AZWNZRTVACE
fea4115a-2f78-47a7-877a-2de94142d639,globalresearch-ca_20170312T001802.conll.annot,13,1 2 3 4 5 6,www.globalresearch.ca,CDC data published after 1985 outbreak,5 - The source is fully reliable,"",TXDGD7PRFE4G,5 - The source is fully reliable,"",9MXXQWCEDHHX,4 - The source is somewhat reliable,"",VHYWA473JMK3,4 - The source is somewhat reliable,"",7R2NKCJQNXPP,5 - The source is fully reliable,"",ATEZ9499929P,3 - The source is potentially reliable,"",N7P6PRKRJCTQ,1 - The source is totally unreliable,"",HQ9C62JNTQAD
fc4b6ecf-5b47-4144-96cf-16aa366bd271,Parents_20170705T132137.conll.annot,4,10 11 12 13 14 15 16 17,Parents,"Estall , of Grand Forks , North Dakota",3 - The source is potentially reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,2 - The source is somewhat unreliable,"",VHYWA473JMK3,3 - The source is potentially reliable,"",7R2NKCJQNXPP,3 - The source is potentially reliable,"",ATEZ9499929P,4 - The source is somewhat reliable,"",64AFFXCKWR7N,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ
fdc1f17b-be12-4526-ac89-bc20c8e9100e,SELF_20170611T091338.conll.annot,1,12 13,SELF,the state,3 - The source is potentially reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,3 - The source is potentially reliable,"",VHYWA473JMK3,2 - The source is somewhat unreliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",ATEZ9499929P,1 - The source is totally unreliable,"",7R2NKCJQNXPP
fe53dee2-6ed8-43b3-8aa5-f7ccf1fc3ab3,Stop-Mandatory-Vaccination_20170324T022210.conll.annot,159,1 2,Stop Mandatory Vaccination,Lynette Kennedy,2 - The source is somewhat unreliable,"",VPA49GVE9GAV,5 - The source is fully reliable,"",TXDGD7PRFE4G,1 - The source is totally unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,2 - The source is somewhat unreliable,"",VHYWA473JMK3,1 - The source is totally unreliable,"",NKJG9Q32MFF2,3 - The source is potentially reliable,"",7R2NKCJQNXPP
fb6ed758-d3c7-476b-9920-78631099c726,en-wikipedia-org_20170412T054820.conll.annot,54,1,en.wikipedia.org,Hilleman,4 - The source is somewhat reliable,"",TXDGD7PRFE4G,2 - The source is somewhat unreliable,"",9MXXQWCEDHHX,1 - The source is totally unreliable,"",N7P6PRKRJCTQ,3 - The source is potentially reliable,"",7R2NKCJQNXPP,2 - The source is somewhat unreliable,"",VHYWA473JMK3,3 - The source is potentially reliable,"",ATEZ9499929P,3 - The source is potentially reliable,"",NKJG9Q32MFF2
